settlement_id,payment_ids,amount,fees,tax,net_settled_amount,utr,settled_at
setl_CLN017,"[""pay_SYN017mZ8uKR99GA""]",65400,1308,235,63857,RZP2026080117UTR,2026-08-08
setl_CLN018,"[""pay_SYN018nZwYR0IGxg""]",66600,1332,240,65028,RZP2026080118UTR,2026-08-09
setl_CLN019,"[""pay_SYN0196qsXSgvbUR""]",67800,1356,244,66200,RZP2026080119UTR,2026-08-09
setl_CLN020,"[""pay_SYN020QvcnaXVUBu""]",69000,1380,248,67372,RZP2026080120UTR,2026-08-09
setl_CLN021,"[""pay_SYN021VSPj3SW5u4""]",70200,1404,253,68543,RZP2026080121UTR,2026-08-10
setl_CLN022,"[""pay_SYN022L7tygSqdxJ""]",71400,1428,257,69715,RZP2026080122UTR,2026-08-10
setl_CLN023,"[""pay_SYN023IoFnTrf31y""]",72600,1452,261,70887,RZP2026080123UTR,2026-08-10
setl_CLN024,"[""pay_SYN0240H341kvhux""]",73800,1476,266,72058,RZP2026080124UTR,2026-08-11
setl_CLN025,"[""pay_SYN025ftp5ElpR3E""]",75000,1500,270,73230,RZP2026080125UTR,2026-08-11
setl_CLN026,"[""pay_SYN0263JN6bx8bsS""]",76200,1524,274,74402,RZP2026080126UTR,2026-08-11
setl_CLN027,"[""pay_SYN027rRy3ZPYVQa""]",77400,1548,279,75573,RZP2026080127UTR,2026-08-12
setl_CLN028,"[""pay_SYN028tRTa0oVMhH""]",78600,1572,283,76745,RZP2026080128UTR,2026-08-12
setl_CLN029,"[""pay_SYN029Fubd3J3j3t""]",79800,1596,287,77917,RZP2026080129UTR,2026-08-12
setl_CLN030,"[""pay_SYN0309X4bAFe7Tf""]",81000,1620,292,79088,RZP2026080130UTR,2026-08-13
setl_CLN031,"[""pay_SYN031CpAwVcIeoF""]",82200,1644,296,80260,RZP2026080131UTR,2026-08-13
setl_CLN032,"[""pay_SYN032sVW0Cy6xv8""]",83400,1668,300,81432,RZP2026080132UTR,2026-08-13
setl_CLN033,"[""pay_SYN033SSm9PHBZE0""]",84600,1692,305,82603,RZP2026080133UTR,2026-08-14
setl_CLN034,"[""pay_SYN034iFW876ygBI""]",85800,1716,309,83775,RZP2026080134UTR,2026-08-14
setl_BAT000,"[""pay_SYN100GQvfU3DP2k"", ""pay_SYN1018YarHy6WG9""]",85000,1700,306,82994,RZP2026080135UTR,2026-08-15
setl_BAT001,"[""pay_SYN1022myq2mVY2m"", ""pay_SYN103GFlySYKVea""]",88500,1770,318,86412,RZP2026080136UTR,2026-08-16
setl_BAT002,"[""pay_SYN104NapbVMpFJf"", ""pay_SYN1059Hn2tcUlOS""]",92000,1840,331,89829,RZP2026080137UTR,2026-08-17
setl_BAT003,"[""pay_SYN106dEoh4LlvGQ"", ""pay_SYN107k1SgzY2AlM""]",95500,1910,344,93246,RZP2026080138UTR,2026-08-18
setl_BAT004,"[""pay_SYN108rZ7Tb2rwOG"", ""pay_SYN109WJcqWVCF7T""]",99000,1980,357,96663,RZP2026080139UTR,2026-08-19
setl_LAG000,"[""pay_SYN200vFkHybFnKa""]",60000,1200,216,58584,RZP2026080140UTR,2026-08-21
setl_LAG001,"[""pay_SYN201zpPidMBjrF""]",63000,1260,227,61513,RZP2026080141UTR,2026-08-22
setl_LAG002,"[""pay_SYN202vNXJEhFC5X""]",66000,1320,238,64442,RZP2026080142UTR,2026-08-23
setl_LAG003,"[""pay_SYN203ejO92ZBLsS""]",69000,1380,248,67372,RZP2026080143UTR,2026-08-24
setl_LAG004,"[""pay_SYN204zIno9GTRSM""]",72000,1440,259,70301,RZP2026080144UTR,2026-08-25
setl_RFD000,"[""pay_SYN300dNHsyU78sw""]",-40000,0,0,-40000,RZP2026080145UTR,2026-08-21
setl_RFD001,"[""pay_SYN301yjKrOTqUr9""]",-45000,0,0,-45000,RZP2026080146UTR,2026-08-22
setl_GAR000,"[""pay_SYN400RrKQhMuerI""]",52000,1040,187,50773,RZP2026080147UTR,2026-08-23
setl_GAR001,"[""pay_SYN401ekT49n9dpk""]",54500,1090,196,53214,RZP2026080148UTR,2026-08-24
setl_GAR002,"[""pay_SYN402s3PoLW1Szt""]",57000,1140,205,55655,RZP2026080149UTR,2026-08-25
setl_RND000,"[""pay_SYN500WioTPxJNTu""]",48900,978,176,47746,RZP2026080150UTR,2026-08-25
setl_RND001,"[""pay_SYN501guoFNIQVYx""]",52200,1044,188,50968,RZP2026080151UTR,2026-08-26
setl_MIS000,"[""pay_SYN600UAF5qRbgks""]",70000,1400,252,68348,RZP2026080152UTR,2026-08-27
setl_MIS001,"[""pay_SYN601kShWqPtK3X""]",74000,1480,266,72254,RZP2026080153UTR,2026-08-28
setl_DUP001A,"[""pay_SYN700d4X21fQCet""]",55000,1100,198,53702,RZP2026080154UTR,2026-08-29
setl_DUP001B,"[""pay_SYN700d4X21fQCet""]",55000,1100,198,53702,RZP2026080155UTR,2026-08-30
setl_UNEXP001,"[""pay_SYN900jzVzUnWcAP""]",103500,2070,373,101057,RZP2026080157UTR,2026-09-01
